
1,2,22
1,1,0
1,1,12
1,1,1
1,8,5
1,1,0
1,1,1
1,7,3
1,2,1
1,3,2
1,2,1
1,1,0
1,1,1
1,1,0
1,2,1
1,1,0
1,1,0
1,4,0
1,1,1
1,3,0
1,1,0
1,1,0
1,1,1
1,3,2
1,1,0
1,1,0
1,1,1
1,1,0
1,3,2
1,1,0
1,5,3
1,1,2
1,1,0
1,1,0
1,1,0
1,1,1
1,8,4
1,1,0
1,1,0
1,6,3
1,1,2
1,1,0
1,12,5
1,1,0
1,2,1
1,1,0
1,4,2
1,1,0
1,1,1
1,1,0
1,1,0
1,1,0
1,1,1
1,1,0
1,1,0
1,16,5
1,1,0
1,1,0
1,1,1
1,23,8
1,1,0
1,1,0
1,3,2
1,2,1
1,11,2
1,1,0
1,1,1
1,1,0
1,16,2
1,4,2
1,1,0
1,5,1
1,1,0
1,1,1
1,1,1
1,9,2
1,1,0
1,4,2
1,2,1
1,3,1
1,9,2
1,8,1
1,1,0
1,1,0
1,15,5
1,1,0
1,1,0
1,2,1
1,1,0
1,2,1
1,1,1
1,4,2
1,1,0
1,1,1
1,6,2
1,1,0
1,1,0
1,2,1
1,1,0
1,1,0
2,3,0
2,2,1
2,9,1
2,8,2
2,4,1
2,3,0
2,1,1
2,3,1
2,5,1
2,4,0
2,1,1
2,3,1
2,2,0
2,2,1
2,4,1
2,6,2
2,2,0
2,2,0
2,9,3
2,6,1
2,2,1
2,12,3
2,3,1
2,4,1
2,2,1
2,2,0
2,2,1
2,17,3
2,2,0
2,24,14
2,2,0
2,5,1
2,12,1
2,2,0
2,17,2
2,6,1
2,2,0
2,10,3
2,4,1
2,5,1
2,13,2
2,2,1
2,15,3
2,3,0
2,3,1
2,5,2
2,2,0
2,7,2
2,2,0
2,2,1
2,18,4
2,2,0
2,2,1
2,5,0
2,4,1
2,2,0
2,8,1
2,4,1
2,14,2
2,16,4
2,9,1
2,2,1
2,2,0
2,2,0
2,15,2
2,6,1
2,2,0
2,2,0
2,2,1
2,2,0
2,2,0
2,4,1
2,5,0
2,3,0
2,2,1
2,9,1
2,2,0
2,18,7
2,1,1
2,14,1
2,3,1
2,2,0
2,13,2
2,3,1
2,18,1
2,23,6
2,15,1
2,2,1
2,2,0
2,12,1
2,2,1
2,10,1
2,14,2
2,2,0
2,8,1
2,7,1
2,5,1
2,5,0
2,2,1
2,8,2
3,4,0
3,9,2
3,10,1
3,6,1
3,3,1
3,6,1
3,5,0
3,3,2
3,3,0
3,5,1
3,7,1
3,3,1
3,9,2
3,7,1
3,13,3
3,5,1
3,3,0
3,3,1
3,17,3
3,24,4
3,5,1
3,13,2
3,17,2
3,7,2
3,2,1
3,11,2
3,13,2
3,10,2
3,16,3
3,5,1
3,6,1
3,8,1
3,3,1
3,18,3
3,3,1
3,7,0
3,5,1
3,9,1
3,14,2
3,17,3
3,10,2
3,3,0
3,3,1
3,16,2
3,3,0
3,2,1
3,3,0
3,5,0
3,7,1
3,4,1
3,9,1
3,18,6
3,2,1
3,16,2
3,14,1
3,3,1
3,27,6
3,15,1
3,3,1
3,12,1
3,12,1
3,14,2
3,3,1
3,11,1
3,6,1
3,6,0
3,9,1
3,8,2
3,17,2
3,4,1
3,3,1
3,17,1
3,36,5
3,3,1
3,5,1
3,2,1
3,3,0
3,18,5
3,8,1
3,3,0
3,4,1
3,17,2
3,6,0
3,3,1
3,10,1
3,3,1
3,6,1
3,5,0
3,4,1
3,3,0
3,16,3
3,4,0
3,18,3
3,24,4
3,5,0
3,6,1
3,3,1
3,2,0
3,16,3
3,6,1
4,5,0
4,14,2
4,7,1
4,4,1
4,7,1
4,3,1
4,4,0
4,8,2
4,4,0
4,12,2
4,13,2
4,6,1
4,4,0
4,19,2
4,24,3
4,6,1
4,14,1
4,17,2
4,10,2
4,8,1
4,14,2
4,16,3
4,8,1
4,9,2
4,4,0
4,20,4
4,7,0
4,5,2
4,10,1
4,18,4
4,11,1
4,4,1
4,16,2
4,4,1
4,4,0
4,6,1
4,7,1
4,10,1
4,18,6
4,15,2
4,4,0
4,14,2
4,27,11
4,17,2
4,12,1
4,12,2
4,16,1
4,11,2
4,10,1
4,10,1
4,8,2
4,19,2
4,4,1
4,18,2
4,36,6
4,6,2
4,3,1
4,4,0
4,18,4
4,10,1
4,5,0
4,18,2
4,5,2
4,10,2
4,5,1
4,6,0
4,5,1
4,4,1
4,17,2
4,24,5
4,5,1
4,6,1
4,3,1
4,15,1
4,11,2
4,9,1
4,3,1
4,2,0
4,4,1
4,20,2
4,17,2
4,25,3
4,17,2
4,5,1
4,3,1
4,13,1
4,6,1
4,4,1
4,11,1
4,3,1
4,8,1
4,17,2
4,5,1
4,20,3
4,4,1
4,12,1
4,12,2
4,4,0
4,24,3
4,3,1
